代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率
000166.SZ,申万宏源,20150126,N/A,12.26,14.56,11.30,13.56,1225927830,23755591040,N/A,N/A,37.3958,64417557048,N/A,291935038798,3278247178,0,14856744977,156.0948,15.3656,33.7232,8.4056
000166.SZ,申万宏源,20150127,13.56,12.70,13.11,12.21,12.24,687550484,12429620736,-1.33,-9.7710,20.9731,58123322466,N/A,263410088442,3278247178,0,14856744977,140.8428,13.8642,30.4281,7.5843
000166.SZ,申万宏源,20150128,12.24,12.15,12.15,11.59,11.85,368204171,6344390140,-0.39,-3.1585,11.2317,56287504046,N/A,255090311255,3278247178,0,14856744977,136.3943,13.4263,29.4671,7.3448
000166.SZ,申万宏源,20150129,11.85,11.53,12.41,11.43,12.15,395604727,6838197548,0.30,2.5044,12.0676,57697150333,N/A,261478711595,3278247178,0,14856744977,139.8101,13.7625,30.205,7.5287
000166.SZ,申万宏源,20150130,12.15,12.07,12.24,11.59,11.63,268831053,4614103340,-0.52,-4.2614,8.2005,55238464949,N/A,250336152862,3278247178,0,14856744977,133.8523,13.1761,28.9179,7.2079
000166.SZ,申万宏源,20150202,11.63,11.17,11.28,10.70,10.77,296803034,4709138257,-0.86,-7.3591,9.0537,51173438449,N/A,231913789091,3278247178,0,14856744977,124.0021,12.2064,26.7898,6.6775
000166.SZ,申万宏源,20150203,10.77,10.94,11.10,10.77,11.03,244130649,3874595329,0.26,2.3703,7.4470,52386389904,N/A,237410784732,3278247178,0,14856744977,126.9412,12.4958,27.4248,6.8357
000166.SZ,申万宏源,20150204,11.03,11.04,11.15,10.70,10.72,252635066,3986040193,-0.31,-2.8160,7.7064,50911178674,N/A,230725249493,3278247178,0,14856744977,123.3665,12.1439,26.6525,6.6432
000166.SZ,申万宏源,20150205,10.72,11.04,11.04,10.61,10.62,233707168,3657292487,-0.10,-0.9015,7.1290,50452224069,N/A,228645305196,3278247178,0,14856744977,122.2544,12.0344,26.4122,6.5833
000166.SZ,申万宏源,20150206,10.62,10.45,10.67,10.26,10.32,196406084,2973104635,-0.30,-2.8590,5.9912,49009795311,N/A,222108337406,3278247178,0,14856744977,118.7592,11.6903,25.6571,6.3951
000166.SZ,申万宏源,20150209,10.32,10.29,10.88,10.23,10.71,263003773,4062699405,0.39,3.8127,8.0227,50878396203,N/A,230576682043,3278247178,0,14856744977,123.2871,12.1361,26.6353,6.639
000166.SZ,申万宏源,20150210,10.71,10.63,10.79,10.43,10.57,187082277,2879595620,-0.14,-1.3531,5.7068,50189964295,N/A,227456765598,3278247178,0,14856744977,121.6189,11.9719,26.2749,6.5491
000166.SZ,申万宏源,20150211,10.57,10.63,11.03,10.49,10.97,245122220,3845895397,0.41,3.8537,7.4772,52124130130,N/A,236222245134,3278247178,0,14856744977,126.3057,12.4332,27.2875,6.8015
000166.SZ,申万宏源,20150212,10.97,10.88,11.00,10.75,10.89,157518604,2482387342,-0.08,-0.7547,4.8050,51730740469,N/A,234439435737,3278247178,0,14856744977,125.3525,12.3394,27.0815,6.7502
000166.SZ,申万宏源,20150213,10.89,10.97,11.09,10.85,10.88,162471571,2580064928,-0.01,-0.1267,4.9561,51665175525,N/A,234142300838,3278247178,0,14856744977,125.1936,12.3237,27.0472,6.7416
000166.SZ,申万宏源,20150216,10.88,10.88,10.92,10.74,10.79,126813936,1987430989,-0.09,-0.8249,3.8683,51239003392,N/A,232210923991,3278247178,0,14856744977,124.1609,12.2221,26.8241,6.686
000166.SZ,申万宏源,20150217,10.79,10.80,11.00,10.80,10.90,121216445,1918480499,0.11,1.0237,3.6976,51763522941,N/A,234588003187,3278247178,0,14856744977,125.4319,12.3472,27.0987,6.7545
000166.SZ,申万宏源,20150225,10.90,10.94,10.94,10.66,10.69,100306161,1561035958,-0.21,-1.8999,3.0597,50780048787,N/A,230130979694,3278247178,0,14856744977,123.0488,12.1126,26.5838,6.6261
000166.SZ,申万宏源,20150226,10.69,10.65,11.11,10.48,10.99,212915107,3345515256,0.30,2.8405,6.4948,52222477546,N/A,236667947484,3278247178,0,14856744977,126.5441,12.4567,27.339,6.8143
000166.SZ,申万宏源,20150227,10.99,10.92,11.01,10.84,10.88,142434085,2254747508,-0.12,-1.0672,4.3448,51665175525,N/A,234142300838,3278247178,0,14856744977,125.1936,12.3237,27.0472,6.7416
000166.SZ,申万宏源,20150302,10.88,11.05,11.23,10.91,10.99,209563382,3357588718,0.12,1.0787,6.3925,52222477546,N/A,236667947484,3278247178,0,14856744977,126.5441,12.4567,27.339,6.8143
000166.SZ,申万宏源,20150303,10.99,10.94,10.95,10.64,10.65,177715672,2768033593,-0.35,-3.1387,5.4211,50583353957,N/A,229239574995,3278247178,0,14856744977,122.5722,12.0657,26.4809,6.6005
000166.SZ,申万宏源,20150304,10.65,10.63,10.84,10.63,10.71,104884499,1629174407,0.06,0.5833,3.1994,50878396203,N/A,230576682043,3278247178,0,14856744977,123.2871,12.1361,26.6353,6.639
000166.SZ,申万宏源,20150305,10.71,10.64,10.81,10.59,10.66,119927983,1856576168,-0.05,-0.4510,3.6583,50648918900,N/A,229536709895,3278247178,0,14856744977,122.731,12.0813,26.5152,6.609
000166.SZ,申万宏源,20150306,10.66,10.69,10.79,10.62,10.63,97587017,1512189539,-0.03,-0.3236,2.9768,50485006541,N/A,228793872646,3278247178,0,14856744977,122.3339,12.0422,26.4294,6.5876
000166.SZ,申万宏源,20150309,10.63,10.37,10.59,10.27,10.55,134023796,2017582293,-0.08,-0.7792,4.0883,50091616880,N/A,227011063249,3278247178,0,14856744977,121.3806,11.9484,26.2234,6.5363
000166.SZ,申万宏源,20150310,10.55,10.51,10.77,10.43,10.61,123955506,1899032660,0.07,0.6545,3.7812,50419441598,N/A,228496737746,3278247178,0,14856744977,122.175,12.0266,26.3951,6.5791
000166.SZ,申万宏源,20150311,10.61,10.61,10.75,10.43,10.48,121578229,1865269871,-0.13,-1.2354,3.7086,49796574634,N/A,225673956201,3278247178,0,14856744977,120.6657,11.878,26.069,6.4978
000166.SZ,申万宏源,20150312,10.48,10.52,10.72,10.43,10.58,128255692,1965937255,0.10,0.9217,3.9123,50255529239,N/A,227753900497,3278247178,0,14856744977,121.7778,11.9875,26.3093,6.5577
000166.SZ,申万宏源,20150313,10.58,10.63,10.76,10.53,10.59,116482679,1796282763,0.01,0.1305,3.5532,50321094182,N/A,228051035397,3278247178,0,14856744977,121.9367,12.0031,26.3436,6.5662
000166.SZ,申万宏源,20150316,10.59,10.62,10.81,10.53,10.81,203043114,3153751158,0.21,2.0195,6.1936,51337350807,N/A,232656626340,3278247178,0,14856744977,124.3992,12.2455,26.8756,6.6988
000166.SZ,申万宏源,20150317,10.81,10.89,11.80,10.84,11.58,458779061,7489495406,0.77,7.1520,13.9946,55008987647,N/A,249296180714,3278247178,0,14856744977,133.2962,13.1213,28.7977,7.1779
000166.SZ,申万宏源,20150318,11.58,11.59,12.15,11.46,11.93,398776502,6849320838,0.35,3.0393,12.1643,56680893708,N/A,256873120652,3278247178,0,14856744977,137.3476,13.5201,29.673,7.3961
000166.SZ,申万宏源,20150319,11.93,11.95,12.05,11.67,11.86,256462068,4397697633,-0.08,-0.6362,7.8231,56320286518,N/A,255238878705,3278247178,0,14856744977,136.4738,13.4341,29.4842,7.3491
