代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率
000066.SZ,中国长城,20110104,9.34,9.32,9.45,9.27,9.40,16056533,155149532,0.06,0.6218,2.7975,5573137851,N/A,12852096633,573958584,0,1323593886,32.7538,5.6301,0.154,-22.9507
000066.SZ,中国长城,20110105,9.40,9.40,9.40,9.20,9.23,14945391,143390031,-0.17,-1.8538,2.6039,5469825306,N/A,12613849734,573958584,0,1323593886,32.1467,5.5257,0.1512,-22.5252
000066.SZ,中国长城,20110106,9.23,9.26,9.35,9.15,9.19,9762668,93065682,-0.04,-0.4197,1.7009,5446866962,N/A,12560905978,573958584,0,1323593886,32.0117,5.5025,0.1505,-22.4307
000066.SZ,中国长城,20110107,9.19,9.12,9.38,9.12,9.17,11717804,112116423,-0.02,-0.2107,2.0416,5435387790,N/A,12534434100,573958584,0,1323593886,31.9443,5.4909,0.1502,-22.3834
000066.SZ,中国长城,20110110,9.17,9.15,9.26,8.67,8.78,17749200,163576437,-0.39,-4.2239,3.0924,5205804357,N/A,12004996546,573958584,0,1323593886,30.595,5.259,0.1439,-21.438
000066.SZ,中国长城,20110111,8.78,8.78,8.80,8.38,8.53,15414320,135930094,-0.25,-2.8666,2.6856,5056575125,N/A,11660862136,573958584,0,1323593886,29.7179,5.1082,0.1397,-20.8234
000066.SZ,中国长城,20110112,8.53,8.56,8.62,8.43,8.57,8795979,77494386,0.04,0.4540,1.5325,5079533468,N/A,11713805891,573958584,0,1323593886,29.8529,5.1314,0.1404,-20.918
000066.SZ,中国长城,20110113,8.57,8.68,8.90,8.62,8.63,11037214,99696954,0.06,0.6780,1.9230,5113970983,N/A,11793221524,573958584,0,1323593886,30.0553,5.1662,0.1413,-21.0598
000066.SZ,中国长城,20110114,8.63,8.57,8.57,8.25,8.28,10251517,88561522,-0.35,-4.0404,1.7861,4907345893,N/A,11316727725,573958584,0,1323593886,28.8409,4.9575,0.1356,-20.2089
000066.SZ,中国长城,20110117,8.28,8.28,8.28,7.75,7.75,13659141,111362365,-0.52,-6.3158,2.3798,4597408258,N/A,10601987027,573958584,0,1323593886,27.0194,4.6444,0.1271,-18.9326
000066.SZ,中国长城,20110118,7.75,7.75,7.83,7.75,7.82,5531632,44557583,0.07,0.8739,0.9638,4637585359,N/A,10694638599,573958584,0,1323593886,27.2555,4.685,0.1282,-19.098
000066.SZ,中国长城,20110119,7.82,7.84,8.03,7.77,8.01,7616045,62265085,0.18,2.3515,1.3269,4746637490,N/A,10946121437,573958584,0,1323593886,27.8964,4.7951,0.1312,-19.5471
000066.SZ,中国长城,20110120,8.01,8.00,8.00,7.36,7.49,12466457,99090732,-0.51,-6.4087,2.1720,4442439440,N/A,10244616678,573958584,0,1323593886,26.1086,4.4878,0.1228,-18.2944
000066.SZ,中国长城,20110121,7.49,7.47,7.64,7.43,7.54,8001373,62247156,0.05,0.6460,1.3941,4471137369,N/A,10310796372,573958584,0,1323593886,26.2773,4.5168,0.1236,-18.4126
000066.SZ,中国长城,20110124,7.54,7.57,7.61,7.26,7.28,8128907,62036500,-0.26,-3.4660,1.4163,4316168552,N/A,9953426023,573958584,0,1323593886,25.3665,4.3603,0.1193,-17.7744
000066.SZ,中国长城,20110125,7.28,7.30,7.32,6.93,7.02,8251084,60189346,-0.26,-3.5904,1.4376,4161199734,N/A,9596055674,573958584,0,1323593886,24.4557,4.2037,0.115,-17.1362
000066.SZ,中国长城,20110126,7.02,7.06,7.22,7.04,7.15,6149283,45387819,0.14,1.9310,1.0714,4241553936,N/A,9781358818,573958584,0,1323593886,24.928,4.2849,0.1172,-17.4671
000066.SZ,中国长城,20110127,7.15,7.14,7.40,7.04,7.30,8577338,64249251,0.15,2.0298,1.4944,4327647723,N/A,9979897900,573958584,0,1323593886,25.434,4.3719,0.1196,-17.8217
000066.SZ,中国长城,20110128,7.30,7.21,7.42,7.16,7.36,9581052,71989498,0.06,0.7958,1.6693,4362085238,N/A,10059313534,573958584,0,1323593886,25.6364,4.4067,0.1206,-17.9635
000066.SZ,中国长城,20110131,7.36,7.33,7.63,7.25,7.56,9661691,74730677,0.20,2.7632,1.6833,4482616541,N/A,10337268250,573958584,0,1323593886,26.3447,4.5284,0.1239,-18.4598
000066.SZ,中国长城,20110201,7.56,7.56,7.74,7.51,7.66,6859854,54172003,0.10,1.2804,1.1952,4540012399,N/A,10469627638,573958584,0,1323593886,26.6821,4.5864,0.1255,-18.6962
000066.SZ,中国长城,20110209,7.66,7.60,7.74,7.52,7.57,8597705,67856973,-0.09,-1.1378,1.4980,4488356127,N/A,10350504189,573958584,0,1323593886,26.3785,4.5342,0.124,-18.4835
000066.SZ,中国长城,20110210,7.57,7.55,7.85,7.55,7.78,10973337,88098041,0.21,2.8133,1.9119,4614627015,N/A,10641694843,573958584,0,1323593886,27.1206,4.6618,0.1275,-19.0035
000066.SZ,中国长城,20110211,7.78,7.78,7.91,7.73,7.83,9025545,72740746,0.05,0.6219,1.5725,4643324945,N/A,10707874538,573958584,0,1323593886,27.2892,4.6908,0.1283,-19.1216
000066.SZ,中国长城,20110214,7.83,7.86,7.98,7.76,7.92,14475637,117698650,0.09,1.1125,2.5221,4694981217,N/A,10826997987,573958584,0,1323593886,27.5928,4.743,0.1298,-19.3344
000066.SZ,中国长城,20110215,7.92,7.92,8.27,7.85,7.97,17227944,143389630,0.05,0.6112,3.0016,4723679146,N/A,10893177682,573958584,0,1323593886,27.7615,4.7719,0.1305,-19.4525
000066.SZ,中国长城,20110216,7.97,7.92,8.06,7.85,8.05,12669062,104171748,0.09,1.0936,2.2073,4775335419,N/A,11012301132,573958584,0,1323593886,28.0651,4.8241,0.132,-19.6653
000066.SZ,中国长城,20110217,8.05,8.05,8.22,7.99,8.22,16843179,141147132,0.16,2.0433,2.9346,4872908378,N/A,11237312092,573958584,0,1323593886,28.6385,4.9227,0.1347,-20.0671
000066.SZ,中国长城,20110218,8.22,8.19,8.21,7.94,8.00,12467503,103540874,-0.22,-2.7091,2.1722,4740897904,N/A,10932885498,573958584,0,1323593886,27.8627,4.7893,0.131,-19.5235
000066.SZ,中国长城,20110221,8.00,7.93,8.10,7.89,8.10,10249408,84917006,0.11,1.3317,1.7857,4804033348,N/A,11078480826,573958584,0,1323593886,28.2337,4.8531,0.1328,-19.7835
000066.SZ,中国长城,20110222,8.10,8.11,8.12,7.76,7.77,15739158,128420672,-0.33,-4.0621,2.7422,4608887430,N/A,10628458905,573958584,0,1323593886,27.0868,4.656,0.1274,-18.9798
000066.SZ,中国长城,20110223,7.77,7.76,7.94,7.68,7.87,12798446,103274021,0.10,1.2453,2.2299,4666283288,N/A,10760818293,573958584,0,1323593886,27.4242,4.714,0.129,-19.2162
000066.SZ,中国长城,20110224,7.87,7.83,7.89,7.77,7.87,11313513,91580820,0.00,0.0000,1.9711,4666283288,N/A,10760818293,573958584,0,1323593886,27.4242,4.714,0.129,-19.2162
000066.SZ,中国长城,20110225,7.87,7.87,8.13,7.86,8.09,20586540,171035849,0.22,2.8290,3.5868,4798293762,N/A,11065244887,573958584,0,1323593886,28.2,4.8473,0.1326,-19.7598
000066.SZ,中国长城,20110228,8.09,8.09,8.18,7.99,8.13,15306679,128164407,0.04,0.4785,2.6669,4821252106,N/A,11118188642,573958584,0,1323593886,28.3349,4.8705,0.1332,-19.8544
000066.SZ,中国长城,20110301,8.13,8.15,8.23,8.05,8.14,16589896,139263373,0.01,0.1190,2.8904,4826991691,N/A,11131424581,573958584,0,1323593886,28.3687,4.8763,0.1334,-19.878
000066.SZ,中国长城,20110302,8.14,8.15,8.15,7.92,8.08,13591697,112735936,-0.06,-0.7134,2.3681,4792554176,N/A,11052008948,573958584,0,1323593886,28.1663,4.8415,0.1324,-19.7362
